book_date	number_of_days
2020-01-01	59.08
2020-01-02	57.22
2020-01-03	41.69
2020-01-04	54.14
2020-01-05	48.58
2020-01-06	67.54
2020-01-07	84.5
2020-01-08	47.53
2020-01-09	78.29
2020-01-10	59.15
2020-01-11	77.94
2020-01-12	68.76
2020-01-13	59.63
2020-01-14	65.68
2020-01-15	59.1
2020-01-16	32.96
2020-01-17	61.0
2020-01-18	80.0
2020-01-19	48.35
2020-01-20	56.06
2020-01-21	52.54
2020-01-22	50.12
2020-01-23	64.59
2020-01-24	83.44
2020-01-25	78.36
2020-01-26	57.72
2020-01-27	38.23
2020-01-28	54.96
2020-01-29	53.47
2020-01-30	101.82
2020-01-31	60.95
2020-02-01	94.93
2020-02-02	75.69
2020-02-03	79.39
2020-02-04	52.91
2020-02-05	50.31
2020-02-06	47.1
2020-02-07	85.86
2020-02-08	62.79
2020-02-09	81.44
2020-02-10	103.29
2020-02-11	89.11
2020-02-12	53.41
2020-02-13	55.83
2020-02-14	79.9
2020-02-15	82.36
2020-02-16	99.5
2020-02-17	21.55
2020-02-18	55.27
2020-02-19	76.37
2020-02-20	46.53
2020-02-21	63.88
2020-02-22	63.69
2020-02-23	70.27
2020-02-24	70.87
2020-02-25	69.92
2020-02-26	69.75
2020-02-27	53.0
2020-02-28	101.88
2020-02-29	97.17
2020-03-01	79.18
2020-03-02	43.89
2020-03-03	41.69
2020-03-04	72.67
2020-03-05	59.59
2020-03-06	75.69
2020-03-07	47.67
2020-03-08	49.77
2020-03-09	36.83
2020-03-10	41.36
2020-03-11	53.12
2020-03-12	92.67
2020-03-13	1.5
2020-03-14	196.0
2020-03-15	226.0
2020-03-16	3.0
2020-03-26	131.0
2020-03-28	324.0
2020-04-02	2.0
2020-04-13	165.0
2020-04-15	2.0
2020-04-16	183.0
2020-04-18	355.0
2020-04-27	2.0
2020-05-01	350.0
2020-05-02	12.5
2020-05-03	8.0
2020-05-04	9.0
2020-05-05	30.5
2020-05-06	21.5
2020-05-07	36.5
2020-05-08	42.0
2020-05-09	34.0
2020-05-10	126.75
2020-05-11	109.5
2020-05-12	2.0
2020-05-13	6.0
2020-05-14	31.0
2020-05-15	264.0
2020-05-16	131.67
2020-05-17	64.0
2020-05-19	429.0
2020-05-20	62.0
2020-05-21	13.0
2020-05-22	78.0
2020-05-23	14.75
2020-05-24	39.25
2020-05-25	19.83
2020-05-26	26.75
2020-05-27	21.0
2020-05-28	3.0
2020-05-29	43.8
2020-05-30	8.67
2020-05-31	151.0
2020-06-01	52.5
2020-06-02	22.75
2020-06-03	20.75
2020-06-04	83.29
2020-06-05	102.5
2020-06-06	41.0
2020-06-07	36.12
2020-06-08	42.17
2020-06-09	24.67
2020-06-10	38.0
2020-06-11	35.2
2020-06-12	78.89
2020-06-13	44.0
2020-06-14	27.64
2020-06-15	25.14
2020-06-16	12.38
2020-06-17	26.67
2020-06-18	12.17
2020-06-19	27.0
2020-06-20	53.12
2020-06-21	29.2
2020-06-22	35.43
2020-06-23	69.0
2020-06-24	38.36
2020-06-25	20.8
2020-06-26	17.5
2020-06-27	23.09
2020-06-28	16.6
2020-06-29	22.82
2020-06-30	34.75
2020-07-01	59.57
2020-07-02	20.78
2020-07-03	21.92
2020-07-04	36.2
2020-07-05	39.0
2020-07-06	26.23
2020-07-07	17.53
2020-07-08	79.6
2020-07-09	43.5
2020-07-10	73.11
2020-07-11	14.53
2020-07-12	15.46
2020-07-13	14.6
2020-07-14	7.0
2020-07-15	42.36
2020-07-16	68.56
2020-07-17	67.56
2020-07-18	14.4
2020-07-19	12.23
2020-07-20	19.45
2020-07-21	11.64
2020-07-22	65.31
2020-07-23	14.12
2020-07-24	20.42
2020-07-25	45.4
2020-07-26	22.0
2020-07-27	18.56
2020-07-28	15.08
2020-07-29	11.57
2020-07-30	14.0
2020-07-31	9.25
2020-08-01	42.0
2020-08-02	14.33
2020-08-03	16.0
2020-08-04	12.44
2020-08-05	18.29
2020-08-06	8.75
2020-08-07	21.75
2020-08-08	11.2
2020-08-09	6.33
2020-08-10	64.85
2020-08-11	9.0
2020-08-12	15.38
2020-08-13	51.0
2020-08-14	4.4
2020-08-15	10.67
2020-08-16	23.8
2020-08-17	10.12
2020-08-18	14.17
2020-08-19	6.67
2020-08-20	4.3
2020-08-21	21.0
2020-08-22	14.6
2020-08-23	15.62
2020-08-24	18.67
2020-08-25	10.6
2020-08-26	5.33
2020-08-27	10.6
2020-08-28	3.0
2020-08-29	15.11
2020-08-30	6.29
2020-08-31	76.0
2020-09-01	12.36
2020-09-02	12.0
2020-09-03	7.8
2020-09-04	3.5
2020-09-05	11.33
2020-09-06	11.0
2020-09-07	12.8
2020-09-08	20.29
2020-09-09	16.2
2020-09-10	22.14
2020-09-11	25.25
2020-09-12	18.67
2020-09-13	17.0
2020-09-14	25.67
2020-09-15	12.33
2020-09-16	7.75
2020-09-17	23.0
2020-09-18	23.75
2020-09-19	6.0
2020-09-20	27.33
2020-09-21	3.0
2020-09-22	9.25
2020-09-23	12.4
2020-09-24	7.4
2020-09-25	18.0
2020-09-26	79.0
2020-09-27	39.0
2020-09-28	73.67
2020-09-29	92.0
2020-09-30	9.0
2020-10-01	11.71
2020-10-02	9.6
2020-10-03	9.25
2020-10-04	2.0
2020-10-05	74.71
2020-10-06	6.6
2020-10-07	7.88
2020-10-08	7.0
2020-10-09	82.0
2020-10-10	2.5
2020-10-11	29.75
2020-10-12	5.6
2020-10-13	3.33
2020-10-14	29.25
2020-10-15	14.82
2020-10-16	2.0
2020-10-17	1.0
2020-10-18	33.0
2020-10-19	12.5
2020-10-20	5.0
2020-10-21	60.4
2020-10-22	2.0
2020-10-23	3.0
2020-10-24	29.33
2020-10-25	28.0
2020-10-26	23.0
2020-10-27	9.0
2020-10-28	12.25
2020-10-29	2.0
2020-10-30	36.33
2020-10-31	5.75
2020-11-01	4.33
2020-11-02	2.33
2020-11-03	7.5
2020-11-04	42.0
2020-11-05	55.0
2020-11-06	6.0
2020-11-07	54.0
2020-11-08	26.5
2020-11-10	1.0
2020-11-11	31.5
2020-11-12	1.0
2020-11-13	47.0
2020-11-14	1.0
2020-11-15	25.0
2020-11-16	14.67
2020-11-17	32.67
2020-11-18	3.67
2020-11-19	12.5
2020-11-20	22.25
2020-11-22	27.75
2020-11-23	23.67
